DATE,ORIGINAL,PROMO,VERY_ORIGINAL
2022-08-28,1970.00,1773.00,3537.00
2022-08-29,1970.00,1773.00,3537.00
2022-08-30,1970.00,1773.00,3537.00
2022-08-31,1970.00,1773.00,3537.00
2022-09-01,3537.00,1970.00,3537.00
2022-09-02,3537.00,1970.00,3537.00
2022-09-03,3537.00,1970.00,3537.00
2022-09-04,3537.00,1970.00,3537.00
2022-09-05,3537.00,1970.00,3537.00
2022-09-06,3537.00,1970.00,3537.00
2022-09-07,3537.00,1970.00,3537.00
2022-09-08,3537.00,1970.00,3537.00
2022-09-09,3537.00,1970.00,3537.00
2022-09-10,3537.00,1970.00,3537.00
2022-09-11,3537.00,1970.00,3537.00
2022-09-12,3537.00,1970.00,3537.00
2022-09-13,3537.00,1970.00,3537.00
2022-09-14,3537.00,1970.00,3537.00
2022-09-15,3537.00,1970.00,3537.00
2022-09-16,3537.00,1970.00,3537.00
2022-09-17,3537.00,1970.00,3537.00
2022-09-18,3537.00,1970.00,3537.00
2022-09-19,3537.00,1970.00,3537.00
2022-09-20,3537.00,1970.00,3537.00
2022-09-21,3537.00,1970.00,3537.00
2022-09-22,3537.00,1970.00,3537.00
2022-09-23,3537.00,1970.00,3537.00
2022-09-24,3537.00,1970.00,3537.00
2022-09-25,3537.00,1970.00,3537.00
2022-09-26,3537.00,1970.00,3537.00
2022-09-27,3537.00,1970.00,3537.00
2022-09-28,3537.00,1970.00,3537.00
2022-09-29,3537.00,1970.00,3537.00
